epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.5117104053497314,0.48973771929740906,0.001,0.5639956593513489,0.4399988353252411
1,0.7322694063186646,0.2669629752635956,0.001,0.6584143042564392,0.34310877323150635
2,0.7736890912055969,0.22654184699058533,0.001,0.6950846314430237,0.3054555058479309
3,0.7855318784713745,0.21394376456737518,0.001,0.6894899606704712,0.31161776185035706
4,0.790996789932251,0.20849597454071045,0.001,0.707854151725769,0.29223376512527466
5,0.7980325222015381,0.2017267346382141,0.001,0.7013171911239624,0.29961732029914856
6,0.7988015413284302,0.20145803689956665,0.001,0.7138480544090271,0.28660160303115845
7,0.8042128086090088,0.19550316035747528,0.001,0.7207313179969788,0.2791201174259186
8,0.8075134754180908,0.1923254430294037,0.001,0.7248244881629944,0.275276780128479
9,0.8062557578086853,0.19335313141345978,0.001,0.7275093793869019,0.27285444736480713
10,0.8130314350128174,0.18716391921043396,1e-04,0.7303076386451721,0.2698889970779419
11,0.8148332238197327,0.18527132272720337,1e-04,0.731049120426178,0.2689841389656067
12,0.8156399130821228,0.184284970164299,1e-04,0.731368899345398,0.26881563663482666
13,0.8167302012443542,0.1832280308008194,1e-04,0.7308874130249023,0.26928186416625977
14,0.8178653120994568,0.18198053538799286,1e-04,0.7317699790000916,0.26842501759529114
15,0.8185189962387085,0.1810905933380127,1e-04,0.7323265075683594,0.2679302394390106
16,0.8198449015617371,0.18017861247062683,1e-04,0.7324917912483215,0.2678181529045105
17,0.8206561207771301,0.17942918837070465,1e-04,0.7329157590866089,0.2673374116420746
18,0.8210699558258057,0.17916128039360046,1e-04,0.7341029644012451,0.26601630449295044
19,0.8219752907752991,0.17809486389160156,1e-04,0.7339535355567932,0.26630890369415283
20,0.8232197761535645,0.17678868770599365,1e-05,0.7339754104614258,0.26622527837753296
21,0.8229575753211975,0.17611372470855713,1e-05,0.7340695858001709,0.2661243677139282
22,0.8239875435829163,0.17589108645915985,1e-05,0.7341013550758362,0.2661190330982208
23,0.8247191905975342,0.17571605741977692,1e-05,0.7336024641990662,0.26659584045410156
24,0.8243262767791748,0.1755782514810562,1e-05,0.7340438365936279,0.26616761088371277
